General:Name,General:Type,General:MSRP,Image:URL,Specs:Sensor,Specs:Resolution,Specs:Max ISO,Lens:Mount,Lens:Focal Length
Alpha 7 IV,Sony,2499.99,https://i.ibb.co/L53f6H3/sony-a7iv.png,Full-Frame,33MP,51200,E-Mount,28-70mm
EOS R6 Mark II,Canon,2499.00,https://i.ibb.co/vqm0d7c/canon-r6ii.png,Full-Frame,24.2MP,102400,RF Mount,24-105mm
LUMIX S5II,Panasonic,1997.99,https://i.ibb.co/VMyhVz8/panasonic-s5ii.png,Full-Frame,24.2MP,51200,L-Mount,20-60mm
Z6 II,Nikon,1996.95,https://i.ibb.co/k3tVv2r/nikon-z6ii.png,Full-Frame,24.5MP,51200,Z-Mount,24-70mm
X-T5,Fujifilm,1699.00,,APS-C,40.2MP,12800,X-Mount,16-80mm
